Country Name,Post Name,Season Begin,Season End,Maximum Lodging Rate,M & IE Rate,Maximum Per Diem Rate,Footnote,Effective Date
BARBADOS,Barbados,1-May,14-Nov,210,167,377,N/A,4/1/2023
BARBADOS,Barbados,15-Nov,30-Apr,321,178,499,N/A,4/1/2023
"Bahamas, The",Andros Island,1-Jan,31-Dec,159,107,266,View,8/1/2015
"Bahamas, The",Eleuthera Island,17-Apr,14-Nov,213,143,356,View,9/1/2015
"Bahamas, The",Eleuthera Island,15-Nov,16-Apr,276,150,426,View,9/1/2015
"Bahamas, The",Grand Bahama Island,1-Jan,31-Dec,187,126,313,View,5/1/2015
"Bahamas, The",Nassau,1-Jan,31-Dec,432,181,613,View,9/1/2024
"Bahamas, The",Other,1-Jan,31-Dec,176,132,308,View,7/1/2017
JAMAICA,Kingston,1-Jan,31-Dec,220,99,319,N/A,11/1/2024
JAMAICA,Other,1-Jan,31-Dec,220,99,319,N/A,11/1/2024
Aruba,Oranjestad,1-Jan,31-Dec,539,160,699,N/A,12/1/2024
Aruba,Other,1-Jan,31-Dec,539,160,699,N/A,12/1/2024
DOMINICAN REPUBLIC,Other,1-Jan,31-Dec,192,92,284,N/A,4/1/2026
DOMINICAN REPUBLIC,Santo Domingo,1-Jan,31-Dec,257,102,359,N/A,4/1/2026
DOMINICAN REPUBLIC,Sosua,1-Jan,31-Dec,150,63,213,N/A,6/1/2016
Curacao,Curacao,1-Jan,31-Dec,353,143,496,N/A,10/1/2024
ST LUCIA,Saint Lucia,1-Jan,31-Dec,331,157,488,N/A,3/1/2023
TRINIDAD AND TOBAGO,Other,1-Jan,31-Dec,236,193,429,N/A,9/1/2022
TRINIDAD AND TOBAGO,Port of Spain,1-Jan,31-Dec,236,193,429,N/A,9/1/2022
TRINIDAD AND TOBAGO,Tobago,1-Jan,31-Dec,220,109,329,N/A,4/1/2017
ANTIGUA AND BARBUDA,Antigua and Barbuda,1-Jan,1-Jun,346,138,484,N/A,4/1/2023
ANTIGUA AND BARBUDA,Antigua and Barbuda,2-Jun,31-Dec,216,125,341,N/A,4/1/2023
ANTIGUA AND BARBUDA,Other,16-Apr,14-Dec,37,18,55,N/A,5/1/2008
ANTIGUA AND BARBUDA,Other,15-Dec,15-Apr,50,19,69,N/A,5/1/2008
BELIZE,Belize City,1-Jan,31-Dec,405,139,544,N/A,5/1/2025
BELIZE,Belmopan,1-Jan,31-Dec,167,91,258,N/A,3/1/2025
BELIZE,Caye Caulker,1-Jan,31-Dec,169,115,284,N/A,11/1/2022
BELIZE,Hopkins,1-Jan,31-Dec,399,133,532,N/A,3/1/2025
BELIZE,Other,1-Jan,31-Dec,162,101,263,N/A,3/1/2025
BELIZE,Placencia,1-Jan,31-Dec,286,144,430,N/A,3/1/2025
BELIZE,San Ignacio Town,1-Jan,31-Dec,268,112,380,N/A,4/1/2025
BELIZE,San Pedro,1-Jan,31-Dec,198,127,325,N/A,4/1/2025
COSTA RICA,Other,1-Jan,31-Dec,147,153,300,N/A,6/1/2026
COSTA RICA,San Jose,1-Jan,31-Dec,147,153,300,N/A,6/1/2026
GRENADA,Grenada,1-Jan,31-Dec,300,142,442,N/A,4/1/2023
CAYMAN ISLANDS,Cayman Islands,17-Jul,14-Dec,307,119,426,N/A,12/1/2015
CAYMAN ISLANDS,Cayman Islands,15-Dec,16-Jul,588,147,735,N/A,12/1/2015
TURKS AND CAICOS ISLANDS,Turks and Caicos Islands,1-Jan,15-Apr,304,165,469,N/A,3/1/2015
TURKS AND CAICOS ISLANDS,Turks and Caicos Islands,16-Apr,31-Dec,231,157,388,N/A,3/1/2015
SAINT KITTS AND NEVIS,Saint Kitts and Nevis,1-Jan,31-Dec,259,138,397,N/A,4/1/2023
SAINT VINCENT AND THE GRENADINES,Saint Vincent and the Grenadines,1-Jan,31-Dec,220,110,330,N/A,4/1/2023
PANAMA,Colon,1-Jan,31-Dec,114,87,201,N/A,1/1/2015
PANAMA,"David, Chiriqui",1-Jan,31-Dec,114,81,195,N/A,11/1/2012
PANAMA,Other,1-Jan,31-Dec,84,58,142,N/A,12/1/2012
PANAMA,Panama City,1-Jan,31-Dec,173,99,272,N/A,1/1/2015
DOMINICA,Dominica,1-Jan,31-Dec,316,135,451,N/A,4/1/2023
